yyyy-mm-dd,WMT,CLX,JNJ,PG,ROKU,CHTR,VZ,PTON,UBER,LYFT,SFM,KR,NFLX,GRUB,AMZN,CPB,ZM,MSFT,COST,BUD,USO,DJI,SBUX,MCD,DAL,UAL,PLNT,EQX,CCL,HLT,MAR,EXPE,CVS,ANTM
2020-01-10,116.3800,153.6700,145.0600,123.9700,128.4000,505.0300,58.9900,28.0100,34.0100,46.0600,17.7500,28.3600,329.0500,52.3800,1883.1600,47.7300,73.0900,161.3400,297.2400,81.4900,12.4100,28823.7695,90.1600,207.2700,59.2400,87.3100,77.2200,7.9500,48.8500,108.6000,145.3900,110.6900,72.1100,307.7400
2020-01-09,117.3600,152.8000,145.3900,123.8500,133.7900,507.2800,58.8500,27.8700,33.9700,45.5900,18.0200,28.4400,335.6600,55.7300,1901.0500,47.6200,72.6200,162.0900,299.4200,80.9800,12.4900,28956.9004,90.5300,208.3500,58.9600,87.9500,76.8600,7.5100,49.2000,109.0900,146.4500,109.7600,72.8600,306.4100
2020-01-08,116.1600,151.9700,144.9600,122.5100,134.6400,500.7700,59.7100,29.6500,33.9300,45.0800,18.3200,28.4200,339.2600,54.7500,1891.9700,47.3500,72.5500,160.0900,294.6900,81.9800,12.6600,28745.0898,88.8800,205.9100,58.8500,87.3000,76.3200,7.7000,48.7600,109.2100,146.7300,108.6200,72.6600,307.4800
2020-01-07,116.5600,151.5200,144.9800,121.9900,138.1900,499.1600,59.6000,30.4000,32.8100,44.2500,18.3400,28.5900,330.7500,48.6300,1906.8600,48.1900,71.9000,157.5800,291.3500,81.6100,13.1300,28583.6797,87.8600,202.6300,57.6100,86.7700,76.3300,7.9300,48.5300,108.2900,144.9400,110.0200,73.5800,299.5400
2020-01-06,117.6500,153.3700,144.1000,122.7500,143.3700,497.4500,60.2700,29.7500,31.5800,43.1000,18.6850,28.8000,335.8300,49.2500,1902.8800,48.5100,70.3200,159.0300,291.8100,83.3300,13.1600,28703.3809,88.1300,202.3300,57.6600,87.7000,75.0400,7.7100,48.3800,109.4200,147.3400,108.7400,73.8600,300.4500
2020-01-03,117.8900,152.9100,144.2800,122.5800,137.5100,494.4700,60.4000,30.6000,31.3700,43.1900,18.4950,28.7000,325.9000,47.1700,1874.9700,48.4300,67.2800,158.6200,291.7300,82.7500,13.1800,28634.8809,88.8300,200.0800,58.0600,87.9000,75.6400,7.5000,49.8900,109.9900,149.2700,109.1300,73.5700,296.8800
2020-01-02,118.9400,152.6100,145.9700,123.4100,137.1000,490.4300,61.0500,29.7400,30.9900,43.5800,18.5900,28.6600,329.8100,47.2400,1898.0100,48.4900,68.7200,160.6200,291.4900,83.4500,12.8100,28868.8008,89.3500,200.7900,59.0400,89.7400,75.0800,7.8400,51.3100,111.4500,151.4900,110.9800,74.1600,300.8700
2019-12-31,118.8400,153.5400,145.8700,124.9000,133.9000,485.0800,61.4000,28.4000,29.7400,43.0200,19.3500,28.9900,323.5700,48.6400,1847.8400,49.4200,68.0400,157.7000,293.9200,82.0400,12.8100,28538.4395,87.9200,197.6100,58.4800,88.0900,74.6800,7.7000,50.8300,110.9100,151.4300,108.1400,74.2900,302.0300
2019-12-30,119.4000,152.8800,145.3000,124.4700,131.6000,483.0800,61.2100,27.6900,29.7400,43.5000,19.5350,29.0600,323.3100,48.3000,1846.8900,49.2500,66.7900,157.5900,295.1400,82.3800,12.8900,28462.1406,87.4400,196.9100,58.6600,87.9600,74.1900,7.7500,51.0200,111.3700,151.8700,107.7700,73.7000,305.3100
2019-12-27,119.5900,153.5300,145.7500,126.0900,139.5200,483.6900,61.5300,27.0000,30.1700,45.8400,19.5100,28.7600,329.0900,49.0600,1869.8000,49.4600,66.6400,158.9600,294.1100,83.1200,12.9100,28645.2598,88.1300,198.1700,59.0800,88.3700,75.4900,7.6400,51.3300,112.3900,152.7300,108.3200,74.4000,306.4200
2019-12-26,119.5200,152.9400,145.8300,125.2200,144.6000,485.7300,61.2900,27.0000,30.6700,45.7300,19.7100,28.8900,332.6300,49.0600,1868.7700,49.0200,67.4500,158.6700,295.7300,82.3700,12.8900,28621.3906,88.0750,197.0600,59.5600,89.2600,74.8200,7.6800,51.3300,111.9400,153.1300,109.0700,74.4800,304.7600
2019-12-24,119.5100,152.4800,145.9300,125.2200,145.5700,480.8600,61.2800,28.7500,30.4400,45.7000,19.8300,29.1000,333.2000,48.5800,1789.2100,49.2300,66.4600,157.3800,294.2300,81.6100,12.7700,28515.4492,88.5200,196.6700,59.3900,89.1500,74.3400,7.1400,50.9400,111.3700,151.5000,108.7700,74.5100,304.5000
2019-12-23,119.0300,152.3400,146.4400,124.9000,140.1400,480.7200,61.4000,29.2200,30.3300,45.5400,19.7000,28.8900,333.1000,48.6300,1793.0000,49.1100,66.1500,157.4100,293.3100,81.8600,12.7000,28551.5293,88.2300,196.2000,59.4400,89.4400,74.1700,7.1000,51.2600,111.2800,151.2400,108.0000,74.3800,303.1800
2019-12-20,120.2900,152.6600,146.0600,125.3600,136.8900,476.2200,62.0700,29.9900,30.4500,47.9200,19.7400,29.0000,336.9000,48.9800,1786.5000,49.1700,66.9300,157.4100,294.8300,81.9900,12.6300,28455.0898,88.4600,197.1400,58.9700,89.2800,73.5600,7.0900,50.2100,111.4200,150.8000,110.0800,74.5800,303.0000
2019-12-19,120.0800,151.4800,145.3500,124.9200,137.7300,475.6700,60.8000,31.9300,29.9900,46.2800,19.9000,28.7600,332.2200,48.5000,1792.2800,48.2200,68.1800,155.7100,293.7100,80.5100,12.7800,28376.9609,88.5200,197.0600,59.1400,89.2200,73.3800,6.8100,46.6500,110.3400,150.0400,109.1000,74.1000,298.2200
2019-12-18,119.8600,149.8200,143.1900,124.0100,134.4400,466.5200,60.8600,31.8900,30.1300,47.0100,19.9200,28.3300,320.8000,46.4800,1784.0300,48.2200,67.6000,154.3700,291.8700,80.4800,12.7400,28239.2793,87.9900,195.6300,58.5800,88.8400,73.2500,6.5700,46.5800,109.2500,149.5500,110.5000,73.2800,293.1800
2019-12-17,121.2800,150.0800,143.5600,125.3100,135.2800,471.1300,61.4900,32.9300,29.7500,47.5000,19.9900,28.7000,315.4800,45.7900,1790.6600,47.7600,66.1700,154.6900,295.5500,79.5100,12.7200,28267.1602,88.1300,196.5200,58.6900,89.3600,72.8900,6.5400,47.2000,108.8000,148.9100,111.5100,73.3500,290.7400
2019-12-16,120.5400,151.5900,141.7900,125.5600,138.3500,470.2300,61.2300,31.3400,30.0500,47.9300,19.7600,28.3100,304.2100,45.0200,1769.2100,47.9600,66.3500,155.5300,293.5000,80.0100,12.5900,28235.8906,88.7800,197.8800,58.4200,88.6300,73.4100,6.2300,46.9900,108.4800,147.9000,114.2300,74.4000,291.7800
2019-12-13,120.2900,151.7000,141.3800,125.4700,132.4900,475.2700,60.8100,31.5300,28.4900,46.7500,19.6200,28.0900,298.5000,43.5400,1760.9400,47.8600,63.5400,154.5300,291.8700,77.9100,12.4900,28135.3809,88.6700,197.1200,56.7300,87.5800,72.6700,6.2000,47.4500,107.2000,146.1600,112.7600,73.5900,284.1200
